recency,frequency,monetary
300,1,103.68
544,1,65.95
97,1,404.72
559,1,30.0
594,1,603.56
112,1,293.92
203,1,164.98
119,1,216.0
382,1,52.59
61,1,134.08
46,1,68.35
77,1,67.49
54,1,73.49
469,1,63.5
62,1,158.28
505,1,175.28
531,1,68.01
475,1,117.08
167,1,30.23
202,1,37.22
442,1,212.73
132,1,579.0
501,1,55.0
330,1,28.84
182,1,192.55
293,1,36.62
124,1,170.74
377,1,40.39
328,1,111.19
43,1,47.46
254,1,172.62
260,1,216.0
310,1,65.62
60,1,1.57
222,1,100.95
227,1,243.11
104,1,165.26
203,1,139.99
307,1,43.68
536,1,147.64
77,1,34.13
291,1,178.27
146,1,59.66
135,1,2153.35
212,1,189.37
321,1,208.72
58,1,36.94
117,1,47.96
139,1,2.16
405,1,49.24
351,1,105.08
551,1,115.02
103,1,289.18
337,1,141.33
309,1,237.07
139,1,30.48
71,1,99.89
271,1,107.54
459,1,286.64
95,1,45.49
38,1,162.06
258,1,86.02
554,1,94.63
501,1,220.54
51,1,268.84
229,1,14.0
208,1,81.01
39,1,131.76
211,1,123.52
311,1,62.99
504,1,41.62
155,1,47.94
155,1,131.06
399,1,155.14
48,1,100.0
270,1,46.0
78,1,66.42
299,1,104.38
96,1,94.74
208,1,211.85
40,1,27.4
129,1,203.89
482,1,41.84
594,1,0.7
210,1,39.09
218,1,256.16
237,1,80.52
56,1,164.08
102,1,29.79
73,1,56.5
397,1,100.0
429,1,137.99
244,2,197.16000000000003
500,1,76.19
218,1,63.34
119,1,377.07
114,1,108.88
575,2,11.04
201,1,189.33
299,1,96.8
227,1,38.89
308,1,61.01
82,1,77.65
190,1,68.94
126,1,108.44
234,1,218.11
63,1,44.29
65,1,132.13
343,1,169.89
298,1,178.27
182,1,176.99
264,1,159.46
462,1,58.89
293,1,88.37
63,1,35.36
335,1,154.46
213,1,28.4
207,1,93.8
248,1,125.52
187,1,61.32
412,1,51.59
477,1,64.7
144,1,142.92
77,1,142.49
296,1,639.98
56,1,1916.08
112,1,38.23
215,1,331.85
216,1,65.09
582,1,212.24
327,1,148.06
178,1,49.73
42,1,94.74
71,1,697.23
168,1,238.22
623,1,43.86
353,1,29.34
150,1,93.39
405,1,73.34
52,1,113.94
67,1,99.74
139,1,89.89
179,1,190.23
173,1,86.98
457,1,1101.51
140,1,133.1
194,1,60.44
136,1,35.13
521,1,86.14
180,1,64.38
149,1,189.09
229,1,137.6
229,1,221.79
257,1,256.5
287,1,60.78
259,1,62.51
332,1,11.0
406,1,76.27
75,1,268.84
453,1,166.16
606,1,148.98
412,1,215.01
153,1,133.86
549,1,242.12
253,1,37.68
61,1,136.64
312,1,82.02
69,1,147.14
475,1,112.23
481,1,164.7
382,1,75.65
239,1,210.45
227,1,144.1
260,1,91.05
502,1,388.76
351,1,2009.62
417,1,77.61
106,1,111.71
195,1,139.96
443,1,328.32
594,1,148.97
511,1,232.05
427,1,82.7
311,1,180.69
344,1,239.77
236,1,53.5
123,1,36.96
503,1,235.5
440,1,52.84
140,1,208.1
446,1,61.11
171,1,145.69
451,1,102.03
292,1,148.06
42,1,138.95
204,1,551.49
55,1,115.86
471,1,514.49
293,1,88.08
311,1,29.17
318,1,94.21
48,1,380.13
363,1,258.45
488,1,108.76
251,1,80.1
168,1,26.39
524,1,33.92
161,1,63.18
413,1,60.75
126,1,148.54
390,1,1338.41
481,1,27.38
61,1,52.85
306,1,170.34
148,1,152.38
434,1,38.09
261,1,55.62
180,1,31.12
526,1,991.2
396,1,115.03
35,1,107.92
158,1,72.67
579,1,114.79
120,1,94.52
77,1,235.26
621,1,123.04
252,1,46.05
329,1,46.84
142,1,74.41
235,1,366.08
158,1,124.41
151,1,28.72
60,1,36.94
174,1,63.13
401,1,65.0
110,1,284.52
41,1,66.47
213,1,60.1
192,1,38.28
78,1,158.07
74,1,309.16
300,1,400.8
89,1,47.29
42,1,59.89
249,1,134.6
543,1,386.66
334,1,106.16
78,1,63.33
107,1,53.58
262,1,320.58
209,1,183.6
236,1,59.09
77,1,158.04
239,1,107.78
433,1,84.27
286,1,170.72
590,1,20.06
332,1,962.31
45,1,338.78
59,1,1367.75
381,1,154.72
327,1,200.21
286,1,238.69
420,1,45.62
135,1,60.37
428,1,50.0
92,1,197.06
49,1,115.87
421,1,42.53
256,1,171.84
301,1,218.62
362,1,76.56
200,1,95.56
460,1,156.33
57,1,49.55
229,1,41.75
108,1,645.17
97,1,15.23
350,1,93.32
60,1,23.35
193,1,108.45
70,1,68.4
559,1,35.46
56,1,1125.36
41,1,31.79
383,1,299.2
92,1,60.5
158,1,182.85
246,1,111.8
446,1,93.3
309,1,96.97
307,1,28.59
502,1,57.68
419,1,377.09
41,1,382.74
437,1,33.66
266,1,168.18
601,1,186.29
349,1,165.7
73,1,147.59
357,1,94.21
66,1,55.03
115,1,181.69
511,1,193.0
55,1,124.07
270,1,270.94
252,1,91.97
543,1,61.02
164,1,319.88
203,1,65.13
541,1,171.92
347,1,28.34
230,1,42.68
200,1,190.15
146,1,55.79
106,1,61.17
349,1,108.19
452,1,87.71
363,1,56.49
113,1,65.22
296,1,76.66
166,1,178.08
50,1,56.5
274,1,64.1
231,1,205.5
136,1,187.44
419,1,26.75
182,1,300.99
164,1,35.77
381,1,40.09
197,1,486.09
118,1,44.92
169,1,44.22
207,1,238.41
56,1,57.39
92,1,643.34
175,1,209.15
406,1,635.19
67,1,34.22
271,1,85.14
60,2,518.49
177,1,88.78
182,1,184.5
174,1,285.79
339,1,164.3
189,1,119.18
69,1,160.79
265,1,31.75
267,1,49.24
300,1,405.72
368,1,141.89
268,1,162.42
100,1,56.99
434,1,34.0
145,1,68.38
320,1,566.63
166,1,152.79
59,1,37.03
444,1,210.56
422,1,87.64
259,1,71.12
383,1,43.1
307,1,205.07
293,1,87.98
601,1,168.67
308,1,113.62
80,1,270.84
310,1,67.11
434,1,88.55
448,1,126.89
217,1,86.15
412,1,86.15
139,1,57.29
318,1,67.55
67,1,371.55
405,1,40.09
335,1,107.78
159,1,64.56
419,1,65.71
328,1,158.52
244,1,39.59
