"date","close","volume","open","high","low"
"2018/12/13","1194.5950","0.0000","1207.9960","1211.9280","1190.1330"
"2018/12/12","1198.8990","0.0000","1203.6390","1216.0100","1190.4040"
"2018/12/11","1181.4790","0.0000","1200.2680","1208.9910","1174.5820"
"2018/12/10","1174.1850","0.0000","1157.5930","1178.7310","1152.1780"
"2018/12/07","1157.8630","0.0000","1200.0460","1202.9630","1152.3400"
"2018/12/06","1202.8250","0.0000","1178.0080","1202.8820","1170.5270"
"2018/12/04","1209.3460","0.0000","1263.2390","1263.6620","1208.5430"
"2018/12/03","1272.7370","0.0000","1278.7400","1281.3540","1259.4250"
"2018/11/30","1239.6020","0.0000","1220.5160","1239.6270","1210.1570"
"2018/11/29","1221.4300","0.0000","1226.4200","1233.8630","1219.1400"
"2018/11/28","1231.4490","0.0000","1214.4090","1231.7420","1192.9720"
"2018/11/27","1204.0760","0.0000","1193.1200","1213.5550","1189.4560"
"2018/11/26","1201.7210","0.0000","1199.7830","1201.8240","1184.7600"
"2018/11/23","1179.2400","0.0000","1168.8630","1189.8390","1168.8630"
"2018/11/21","1179.7330","0.0000","1191.5970","1196.5070","1179.4500"
"2018/11/20","1174.8220","0.0000","1143.9460","1190.3890","1143.9360"
"2018/11/19","1173.0110","0.0000","1213.4300","1217.5390","1172.3610"
"2018/11/16","1220.1450","0.0000","1194.9460","1225.8250","1193.5630"
"2018/11/15","1234.6150","0.0000","1189.6380","1239.7050","1189.3220"
"2018/11/14","1194.7080","0.0000","1205.3020","1212.7680","1183.9210"
"2018/11/13","1190.3750","0.0000","1186.5280","1213.9170","1184.7150"
"2018/11/12","1174.4900","0.0000","1207.0770","1208.2400","1170.4550"
"2018/11/09","1229.0550","0.0000","1235.6540","1239.0530","1218.2090"
"2018/11/08","1252.2300","0.0000","1241.3190","1260.9150","1240.4890"
"2018/11/07","1257.4680","0.0000","1255.1430","1260.6890","1242.5490"
"2018/11/06","1242.6280","0.0000","1226.3540","1246.8130","1226.3070"
"2018/11/05","1228.5990","0.0000","1233.9590","1235.2780","1208.3710"
"2018/11/02","1239.1600","0.0000","1257.0950","1260.7020","1224.7770"
"2018/11/01","1258.0750","0.0000","1210.5960","1261.5300","1210.3730"
"2018/10/31","1202.2970","0.0000","1205.5760","1211.7130","1191.8890"
"2018/10/30","1187.5660","0.0000","1141.7200","1188.7440","1140.3570"
"2018/10/29","1140.1530","0.0000","1175.9260","1181.2880","1119.3660"
"2018/10/26","1152.9990","0.0000","1145.0890","1172.6390","1134.1780"
"2018/10/25","1173.2070","0.0000","1151.2400","1182.1060","1151.2220"
"2018/10/24","1146.4090","0.0000","1204.7430","1207.3250","1144.7330"
"2018/10/23","1227.6070","0.0000","1197.9680","1234.3680","1189.1250"
"2018/10/22","1234.1950","0.0000","1236.3710","1241.4930","1223.3890"
"2018/10/19","1225.9410","0.0000","1253.8860","1260.2210","1221.7450"
"2018/10/18","1245.2960","0.0000","1271.6570","1271.6570","1241.0230"
"2018/10/17","1277.3130","0.0000","1292.4990","1295.0520","1268.7980"
"2018/10/16","1282.9470","0.0000","1255.5940","1284.2690","1255.0010"
"2018/10/15","1241.8220","0.0000","1245.8780","1255.9750","1237.4870"
"2018/10/12","1253.5770","0.0000","1264.3830","1269.5200","1234.3560"
"2018/10/11","1229.3640","0.0000","1244.8400","1266.5370","1220.4870"
"2018/10/10","1242.1020","0.0000","1278.7990","1282.7590","1241.4540"
"2018/10/09","1300.1500","0.0000","1299.0810","1305.8780","1291.7610"
"2018/10/08","1301.0010","0.0000","1306.3100","1317.0920","1289.9230"
"2018/10/05","1315.8410","0.0000","1346.6320","1348.9210","1303.8930"
"2018/10/04","1347.1590","0.0000","1362.8190","1363.7430","1336.0680"
