customer_unique_id,recency,frequency,monetary
02889f45776f057efa2323d295406cf2,21,1,86.76
0299fedc3f190307e87f32483a9ba4fd,70,1,115.31
029b457bd01199c39136f89e0eddcd3a,47,1,132.49
02a09961a48dc54166f61f00c8fcd7e5,2,1,87.7
02ab4d19fd037fa00ad9892f7d529a8f,11,1,150.05
02abda54135beba6c872bc929d06be83,75,1,43.86
02b741ab4dd2d378208995cbd59d4926,82,1,101.2
02c88975fab003e3b48958d6c5b2ad1b,26,1,132.63
02cb7a57062bb762678e321e15ffb11d,88,1,121.8
02cbdaaf4623b20082e2a5f80534a1af,33,1,219.19
02cc3b5d9fb4b6a27fcffba8640601d4,18,1,26.01
02d2c7276ffd446eaab3a3252e61b641,38,1,188.75
02d50470ba933abc280ae8815ae03d74,36,1,90.7
02dd4969c23207b44ef9252dd7ef59f8,57,1,321.38
02e341dda9a498db57a4ec9f47fc02e9,0,1,24.09
02e698078df64c35152a88cfe52d29fe,39,1,472.63
02f410767a69227b0e2bfa75efb1a3dc,63,1,115.71
02fcb3cf7c2cd6a7754b488313aca1d5,42,1,60.1
02fd7a082b1184535bd4eefd87543519,49,1,73.43
030a810edeec1ceea314282513023587,52,1,2794.5
030e8f4f620aaddbacfa53665f789fd0,1,1,81.89
0315b4e89a92f6bea47352a62593167e,18,1,50.65
031b6bf06cc2c9391a8a403cef221a1a,43,1,794.18
031ea691b99fc101dcad357d1a83573f,45,1,47.27
03219f704113c9e40797774e4ddb532d,56,1,84.45
032e4efa58936187018b68818b0f49c4,46,1,84.03
0331222f9b89ba40c398eae5c7afd1b5,28,1,24.09
03328ae8254588f1ef1821f52accaf90,68,1,62.43
033583cf146c168c81773231723a1b2a,54,1,57.68
0342671f965441203a37ba45931e64d6,30,1,67.6
0347fa27107156cbe6f9673afa7da45b,81,1,65.95
034917dc638e05834a69e3c5417fd57d,5,1,346.44
0349c4f5811eb0c1f2a56f459cbd962f,33,1,114.35
03557ec3821accd6a8dcd5f94933752a,58,1,373.13
0357aaa4d93f1704a3970255a474eeee,8,1,127.92
035b4831da64a20908a7ddbc95ede0cd,79,1,140.05
035d56643d91dc2de8b9372d07f10df1,58,1,88.07
035ffa7250a2c84c621d2374a268b345,32,1,79.71
03608653642e4fea136e39e9382d74f2,53,2,72.05000000000001
036758198b848af7b0e0211d9323a081,11,1,90.73
036c6fe22420081a961aa797cfa2b80a,40,1,97.21
0372bebe6d71cf4dc807d24a53403d2e,88,1,133.47
037417c0d0accba5baba0125c7fe6acb,63,1,75.53
037a72c77c3565c6e41ac0607c797b08,0,1,132.02
03824ca7259812a13878a064dced0400,36,1,47.68
03860720a9bb240fe64390835d7c1b7a,20,1,180.51
038788260f49eafe86a7e02b7704e0be,76,1,50.51
038a113bd44096b673f1071b5f39a587,39,1,871.38
038bca7a689852f4c986663f533593ed,72,1,33.42
0391c660eef1a812b4d470b77238cb3d,71,1,78.55
0396c443fdda5498c7e9ed5b34871c5a,56,2,120.84
039a597bb045646b899477a8480bdd93,61,1,45.96
039b42d2915afbc2d4aae9c7b8f2071d,49,1,77.66
039dbe7ecc24f88273182692f51ea405,13,1,33.09
03a31fb0bb19aa17e33049b1961e2aef,65,1,81.78
03a4afe75c961114945607707b9f3b88,24,1,124.42
03a7a36e23016fe4e8d04f751b51937a,55,1,354.08
03b22e3c0ac42e03f94471e220f13f02,72,1,193.17
03b8925633623755895d17fd3e0c3ed1,29,1,109.5
03c81aea7f6a2ca145c62d661d8904c3,1,1,219.63
03d1be27ccf6d46178ecd2ad2cc1db10,14,1,2026.54
03dabd77cb0ed7a26fafe19e36b67742,46,2,99.44999999999999
03dca8ea786a4ed9cd2397ae25af721a,40,1,51.87
03e0c51cc3401735e5a8861d9bda1a79,17,1,42.0
03f55e00670ae82dab663c6706b5283a,49,1,109.93
03f6276b1f106564cc6858f00af7888d,9,1,181.77
040641ad9a73250e1362678a81db1b9b,11,1,53.01
040fc99e1848165b5b3dc5881a144090,86,1,80.12
041397b7bed1e0b64cc8df9e4a761873,33,1,177.44
041d8c4146c8cd3589311dd7d1ad3497,27,1,56.69
042613930f984a8467523450f14de9fb,24,1,285.64
0430815838853d88dd12f38611b8646a,52,1,47.47
0437cfec74524dfc1fc5a78c8d085a9d,87,1,38.95
043aee247e71edff7045664609f4d806,36,1,285.11
0449f7e02f26796da5f6c9d6abb177bc,86,1,114.79
044f89a64b7bd1c9ceecd8f9a83971a8,79,1,86.79
0451ef5a31cea3e14ce02d768d7c9943,12,2,387.39
045876bb64f31e69b5d38c1acfe9774f,2,1,107.22
04601940a8e4d9e3290ed0b82f3e318e,29,1,29.85
0470ebb9e656c572e40382c5e64b82df,13,1,106.29
04716d605653245719dddc7e2cb3cf64,75,1,288.46
0472523e2a5452424dd36808549e6487,44,1,237.3
047349583aacc952cfd041dcd3c1ba1a,8,1,103.08
04802ce2f41b2620c43ba7490fa6ab4d,27,1,127.22
